sensor,meaning,trend_rho,effect_size,n_unique,std,abs_rho,auc_healthy_vs_critical
sensor_11,HPC 출구 정압 (Ps30),0.8096811789473781,2.5134852543188715,159,0.2670873986396848,0.8096811789473781,0.9938041500475978
sensor_12,연료유량/Ps30 비 (phi),-0.7840451324348555,-2.4140283004739014,427,0.7375533922097114,0.7840451324348555,0.987876354127755
sensor_04,LPT 출구 온도 (T50),0.7741165365876549,2.4421399410944433,4051,9.000604780543714,0.7741165365876549,0.9908605564727005
sensor_07,HPC 출구 압력 (P30),-0.7516663774828245,-2.3610993048370825,513,0.8850922576634073,0.7516663774828245,0.9842997698434695
sensor_15,바이패스 비 (BPR),0.7108795108278387,2.3267583313892435,1918,0.03750503795196652,0.7108795108278387,0.9814584011150341
sensor_20,HPT 냉각 블리드 유량 (W31),-0.703033434990755,-2.2693763383992556,120,0.18074642787366083,0.703033434990755,0.9766959081944562
sensor_21,LPT 냉각 블리드 유량 (W32),-0.7018409828730023,-2.2976776168402595,4745,0.10825087474491234,0.7018409828730023,0.9777157868099823
sensor_13,보정 팬 회전수 (NRf),0.6795226636285798,2.0446008503034454,56,0.07191891569857814,0.6795226636285798,0.9354988934009745
sensor_08,물리적 팬 회전수 (Nf),0.6748489003291135,2.0261991118880873,53,0.07098547889092417,0.6748489003291135,0.9358108498921518
sensor_17,블리드 엔탈피 (htBleed),0.6618429329161618,2.2005118758695925,13,1.548763024614299,0.6618429329161618,0.9643513040195051
sensor_02,LPC 출구 온도 (T24),0.6611317545841691,2.183561172651794,310,0.5000532700606232,0.6611317545841691,0.9681180787352236
sensor_03,HPC 출구 온도 (T30),0.6292882299484069,2.1341439598337275,3012,6.131149519690819,0.6292882299484069,0.9599677660356442
sensor_09,물리적 코어 회전수 (Nc),0.41786139205018147,1.5781759891654465,6403,22.082879525066232,0.41786139205018147,0.7014919806716715
sensor_14,보정 코어 회전수 (NRc),0.2568982400221533,1.2778136897169814,6078,19.076175975953106,0.2568982400221533,0.6194258337651279
sensor_06,바이패스 덕트 압력 (P15),0.13850413912945195,0.34917585897480946,2,0.0013889849127073114,0.13850413912945195,
sensor_01,팬 입구 온도 (T2),,0.0,1,0.0,,
sensor_05,팬 입구 압력 (P2),,-0.3333252547774548,1,5.329199674912836e-15,,
sensor_10,엔진 압력비 (epr),,0.0,1,0.0,,
sensor_16,연소기 연료-공기비 (farB),,-1.999951528664729,1,3.469531038354711e-18,,
sensor_18,요구 팬 회전수 (Nf_dmd),,0.0,1,0.0,,
sensor_19,요구 보정 팬 회전수 (PCNfR_dmd),,0.0,1,0.0,,
