features,model,val_rmse,val_phm08,val_late_ratio,val_mae,test_rmse,test_phm08,test_late_ratio,test_mae
① 운전시간만,상수(평균),41.621105328683676,735135.2608545657,0.5043050430504306,36.47166914867563,40.51146345271649,17947.334406777103,0.45,35.11076796551529
① 운전시간만,선형회귀(Ridge),27.364022137315864,144987.94777987193,0.5722632226322263,21.822427740183425,32.30299891396073,5182.819546615364,0.53,26.549768087522615
① 운전시간만,LightGBM,24.819446810657215,87058.20729517605,0.5550430504305043,19.07879876049268,31.148296297204695,3493.9892661205777,0.56,25.07412648806057
② + 센서 원본,상수(평균),41.621105328683676,735135.2608545657,0.5043050430504306,36.47166914867563,40.51146345271649,17947.334406777103,0.45,35.11076796551529
② + 센서 원본,선형회귀(Ridge),20.093393127735904,30412.728400743952,0.5464329643296433,15.84755463241394,20.743619457676484,1043.6909713377386,0.54,16.161616956717406
② + 센서 원본,LightGBM,16.371600370386926,26724.795583277824,0.44587945879458796,11.466068815386565,18.55411498091672,720.6529899186596,0.49,13.867134944573372
③ + 개체 baseline 편차,상수(평균),41.621105328683676,735135.2608545657,0.5043050430504306,36.47166914867563,40.51146345271649,17947.334406777103,0.45,35.11076796551529
③ + 개체 baseline 편차,선형회귀(Ridge),17.90816553065052,22232.225512279074,0.5562730627306273,14.383063097257457,16.736524830854847,435.7096174741685,0.53,13.205438261544405
③ + 개체 baseline 편차,LightGBM,11.89929072754554,9754.901489755703,0.4541820418204182,8.165428461239614,12.465861397878793,227.26796002836295,0.45,9.50495230010111
④ + 이동평균·기울기,상수(평균),41.621105328683676,735135.2608545657,0.5043050430504306,36.47166914867563,40.51146345271649,17947.334406777103,0.45,35.11076796551529
④ + 이동평균·기울기,선형회귀(Ridge),16.5677669645847,17319.778711376144,0.5393603936039361,13.397864800940273,14.940525564720554,341.6566037723725,0.52,12.316627929695803
④ + 이동평균·기울기,LightGBM,8.974944805046862,4842.299825734044,0.43204182041820416,5.898996169833321,10.531795271217872,171.12021053811623,0.46,7.626556561444106
⑤ + 건강도 점수,상수(평균),41.621105328683676,735135.2608545657,0.5043050430504306,36.47166914867563,40.51146345271649,17947.334406777103,0.45,35.11076796551529
⑤ + 건강도 점수,선형회귀(Ridge),13.217828584786586,8943.974029401168,0.5107626076260763,10.304788425045759,13.50692055936757,263.74223511290995,0.51,10.789927366118281
⑤ + 건강도 점수,LightGBM,8.64002581432871,4537.296207348712,0.43573185731857317,5.596468964933674,9.07042592400308,130.44902348439638,0.49,6.758580695935351
